Property Title,Price,Location,Description
3 bedroom flat / apartment for sale,"130,000,000 ","Oniru, Victoria Island (VI), Lagos","3 bedroom flat / apartment for saleoniru, victoria island (vi), lagos₦130,000,0003 bedrooms3 bathrooms4 toilets3 parking spacesproperty descriptionbrand new 3 bedroom flatsoniru, victoria island, lagos3 bedroom flat - ₦130mgovernor's consentfeatures include:- brand new- fully serviced- all rooms ensuite- bq- spacious living room- tastefully finished- cctv camera- 24 hrs security- inbuilt sound system- pop ceiling- water heater- spacious master bedroom with closet- fully fitted kitchen- stamped concrete floor- spacious parking space- safe & secured environment- fitted bathro...More detailsAdded Yesterday"
3 bedroom flat / apartment for sale,"130,000,000 ","Oniru, Victoria Island (VI), Lagos","3 bedroom flat / apartment for saleoniru, victoria island (vi), lagos₦130,000,0003 bedrooms3 bathrooms4 toilets3 parking spacesproperty descriptionbrand new 3 bedroom flatsoniru, victoria island, lagos3 bedroom flat - ₦130mgovernor's consentfeatures include:- brand new- fully serviced- all rooms ensuite- bq- spacious living room- tastefully finished- cctv camera- 24 hrs security- inbuilt sound system- pop ceiling- water heater- spacious master bedroom with closet- fully fitted kitchen- stamped concrete floor- spacious parking space- safe & secured environment- fitted bathro...More detailsAdded Yesterday"
3 bedroom flat / apartment for sale,"$230,000 approx. 99,210,706","Fatai Durosumi Etti Street, Victoria Island (VI), Lagos","Introducing ...eighteen65 residenceslocation:fatai durosimi etti street, victoria island (also accessible via ajose adeogun street).no of floors:9 floors, with water viewunits of apartments:3 bedroom flats with bq - n120m per unit (6 units available for sale)payment plan:*n10m initial deposit*spread balance over 18 monthstitle: c of oproject delivery:24 monthsfacilities:gympoollaundry mart2 car park spaces per unitcctvsmart home devicesautomated access control2 elevatorsservice quartersconcierge servicesfor further details kindly contact 09054710...More detailsAdded Yesterday"
3 bedroom flat / apartment for sale,"85,000,000 ","Oniru Estate, Oniru, Victoria Island (VI), Lagos","This luxury development comprises of 2, and 3bedroom luxury flat apartments with bq.4bedroom penthouse with bqprice:2bedroom apartment - n60m(sold out)3bedroom apartment - n85m.....not for sale with the furnituresfacilities include :fully fitted kitchenpre-installed air-conditionersfitted wardrobestop notch security doorscctvelevatorsgymbq ...More detailsAdded on 30 Sep 2021"
3 bedroom flat / apartment for sale,"320,000,000 ","Off Adeola Odeku Street, Victoria Island (VI), Lagos","3 bedroom apartment on the 11th floor. eden heights off adeola odeku street, victoria island.price: n3...More detailsAdded on 08 Oct 2021"
3 bedroom flat / apartment for sale,"170,000,000 ","Olabode George Street, Victoria Island (VI), Lagos","A very beautiful place in the heart of highbrow victoria island, la...More detailsAdded on 08 Oct 2021"
3 bedroom flat / apartment for sale,"60,000,000 ","Palace Road, Oniru, Victoria Island (VI), Lagos","Well built 3 bedroom apartment for sale in a serene and secured neighbourhood in oniru. all rooms ensuite, a lounge. suitable for investment purposes. rent value: 4.5m per ann...More detailsAdded on 07 Oct 2021"
3 bedroom flat / apartment for sale,"80,000,000 ","Oniru, Victoria Island (VI), Lagos",Luxury 3 bedroom apartment with bq for sale!location: oniru estate victoria island lagosprice: n80mservice charge: #1.7million per annumfacilities include :fully fitted kitchenpre-installed air-conditionersfitted wardrobestop notch security doorscctvelevatorsgymbq ...More detailsAdded on 07 Oct 2021
3 bedroom flat / apartment for sale,"118,000,000 ","Victoria Island (VI), Lagos","Real estate in lagos, nigeria---------------------this lovely 3 bedroom apartment with communal pool and bq is located in a secured and serviced mini-estate and features spacious compound, stamped concrete floor, spacious living room, all rooms en-suite, spacious bedrooms, 24hours security, water treatment, ample parking, cctv and bq----------------------------------price: n118million------------------------------location: victoria island, lagostitle: governor's cons...More detailsAdded on 07 Oct 2021"
3 bedroom flat / apartment for sale,"68,000,000 ","1004, Victoria Island (VI), Lagos","3 bedroom flat for sale at 6th floor block a1, 1004 estate.price n...More detailsAdded on 07 Oct 2021"
