Property Title,Price,Location,Description
5 bedroom detached duplex for sale,"$3,500,000 approx. 1,509,728,135","Banana Island, Ikoyi, Lagos","Introductionwe are pleased to introduce to you a one of a kind masterpiece development ""giovanni residence by pentonville "" situated in banana island, ikoyi. this stunning luxurious project sits on one of the best located plots in banana island, ikoyi. from its elevated position on the sort after location of banana island, the project has a breathtaking view.property descriptionthis contemporary ultra-luxury building consists of the following:8 units of 4-bedroom terrace, a private elevator, dumb waiter ( freight lift ) and a service quarter on four (4) floors.2 units of 5-bedroom duplex penthouse, private elevator, gym, sauna, office, cinema, dumb waiter ( freight lift ), infinity pool on the pent floor and 2 service quarter.building features and amenities* swimming pool (ground floor)* fully equipped gymnasium* 24/7 power supply* 24/7 smart and robust security access system and monitoring* custom designed interior doors and solid core entry door with fingerprint door lock* fully equipped contemporary kitchen by hacker (german designer kitchen)* duravit and grohe sanitary wares* spanish porcelain tile with acoustic underlay* built-in co2 and smoke detectors/ fire alarm* wireless intercom system* high-performance glazing/window system* remote controlled gate* home automation system* private elevator* 2 parking space each* 3 parking space per penthouse* general visitors parking* fully equipped kitchen* standby generators* water treatment plant* cctv cameras* electric fence30% down paym...More detailsAdded on 12 Sep 2021"
5 bedroom terraced duplex for sale,"$1,200,000,000 approx. 517,621,075,020","In A Prestigious Location, Ikoyi, Lagos","Super spacious 5 bed luxury maisonette with swimming pool, gym and elevator- prestigous address- gated estate- fully fitted kitchen- excellent finishing- swimming pool- elevator- gym- smoke detector- cooker's room- double volume living area- spacious dining area- beautiful lightings- green area- bq- 24 hrs security- 24 hrs electricity- affluential neighborhoodlocation: ikoyi, lagosprice: furnished: $1.2munfurnished: $1mcall 07088739045 for more information and inspecti...More detailsAdded Yesterday"
5 bedroom house for sale,"698,000,000 ","Old Ikoyi, Ikoyi, Lagos","New super luxury 5 bedroom maisonette (two levels apartment) with excellent amenities at old ikoyi, lagos.features :swimming poolfitted kitchengymsit-out lounge etc.title : registered d...More detailsAdded Yesterday"
5 bedroom detached duplex for sale,"220,000,000 ","Banana Island, Ikoyi, Lagos","For sale!!!excuisitely finished 4 bedroom fully detached duplex.location: magodo brooks estate. lagos.land area: approximately 500sqmfeatures;large living roomsante roomall rooms ensuitensuit b.q- ample parking space for up to 4 cars24/7 securityserene neighborhood24 hours electricitytitle: c of oasking: ₦220m (two hundred and twenty million naira) only.agency fee: 5% of purchase price.contact: highbrow realty08164941485, 08064386...More detailsAdded on 08 Oct 2021"
5 bedroom detached duplex for sale,"1,000,000,000 ","Banana Island, Ikoyi, Lagos",*luxury 5 bedroom detached duplex with bq**price*: ₦1b*location*: banana island___________________________________features:access controlled estatespacious unitanteroomcctvcar parkpopautomated sensory lightsall rooms ensuitefully fitted kitchen (wet and dry)spacious living areadetailed finishingborehole & treatment plantservice quartersfamily loungeinbuilt sound systemmotorized socketsbuilt in automated tv systemmodern contemporary excellent designstudyoutside parking__________________________________a&y propertycontact us 07063859...More detailsAdded Yesterday
5 bedroom house for sale,"$1,400,000 approx. 603,891,254","Old Ikoyi, Ikoyi, Lagos","Super luxury 5/4 bedroom top notch maisonettes================================$1.4million net (n770million) 5 bedroom$1.1million net (n605million) 4 bedroom================================brand new super-luxury 5/4 bedroom top notch maisonettes (i.e two levels apartment) with excellent amenities everything top notchfacilities includes gym, swimming pool, sit out lounge and luxurious fitted kitchen etc.price: $ 1.4million for the 5 bedroomand $1.1million for the 4 bedroomtitle: registered deedland size: 2300square-met...More detailsAdded on 28 Sep 2021"
5 bedroom detached duplex for sale,"1,000,000,000 ","Banana Island, Ikoyi, Lagos","*price*: ₦1b*location: banana island, ikoyi___________________________________features:access controlled estatespacious unitanteroomcctvcar parkpopautomated sensory lightsall rooms ensuitefully fitted kitchen (wet and dry)spacious living areadetailed finishingborehole & treatment plantservice quartersfamily loungeinbuilt sound systemmotorized socketsbuilt in automated tv systemmodern contemporary excellent designstudyoutside parking_______________________________...More detailsAdded Yesterday"
5 bedroom block of flats for sale,"285,000,000 ","Off Banana Island Road, Ikoyi, Lagos",Available for sale: classy and luxury 5 bedroom's purposely built located at oni-ikoyifeatures- dedicated private elevator- spacious rooms- marble flooring- spacious and fitted kitchen- 24/7 serviced estate with 24/7 powerkindly contact us today for a physicals inspecti...More detailsAdded on 21 Sep 2021
5 bedroom detached duplex for sale,"500,000,000 ","Near Banana Island, Ikoyi, Lagos",More detailsAdded on 07 Oct 2021
5 bedroom detached duplex for sale,"650,000,000 ","Off Banana Island, Ikoyi, Lagos",More detailsAdded on 07 Oct 2021
