Property Title,Price,Location,Description
3 bedroom flat / apartment for sale,"60,000,000 ","Lekki Phase 1, Lekki, Lagos","For salethis lovely 3 bedroom apartment with communal swimming pool, gym is located in a secured and serviced estate.featuresmodern finishing, spacious compound, interlocked floor, all rooms en-suite, fitted kitchen, spacious rooms, water heaters, swimming pool.price: n60milliontitle: governor's consentlocation: lekki phase 1, lekki.call +234 907 935 3558 for inspectionfor more property listing, follow our ig page @artcastest...More detailsAdded Today"
3 bedroom flat / apartment for sale,"58,000,000 ","Lekki Phase 1, Lekki, Lagos","Real estate in lagos, nigeria---------------------this lovely 3 bedroom apartment with communal swimming pool, gym is located in a secured and serviced estate. it features modern finishing, spacious compound, interlocked floor,all rooms en-suite, fitted kitchen, spacious rooms, water heaters,swimming pool---------------------------------price: n58million------------------------------location: lekki phase 1, lekkititle: governor's cons...More detailsAdded Today"
3 bedroom flat / apartment for sale,"60,000,000 ","Lekki Phase 1, Lekki, Lagos","For sale---------------------this lovely 3 bedroom apartment with communal swimming pool, gym is located in a secured and serviced estate. it features modern finishing, spacious compound, interlocked floor,all rooms en-suite, fitted kitchen, spacious rooms, water heaters,swimming pool---------------------------------price: n60million------------------------------location: lekki phase 1, lekkititle: governor's cons...More detailsAdded Yesterday"
3 bedroom flat / apartment for sale,"60,000,000 ","Lekki Right, Lekki Phase 1, Lekki, Lagos",Spacious 3bedrooms flat for sale 60m very spacious and massive pay and move...More detailsAdded on 08 Oct 2021
3 bedroom flat / apartment for sale,"43,000,000 ","2nd Toll Gate, Lekki, Lagos","for sale------------------------------this lovely 3bedroom apartment with a bq is situated in a secured ,mini and fully serviced estate. it features a spacious compound, spacious living room, all rooms en-suite, visitors toilets 24hrs security, 24hours power supply, spacious rooms, treated water, modern toilet wares,interlocking floor and ample parking-------------------------------price: n43 million-------------------------------location: 2nd toll gate,lekkititle: governor's cons...More detailsAdded on 08 Oct 2021"
3 bedroom flat / apartment for sale,"30,000,000 ","Paradise Estate Chevron, Lekki, Lagos","Beautifully built 3 bedroom flat carcass apartment.the estate has a stand-by security men.the location is serene, safe & known for stable power.every tenant will have a prepaid meter.interior features:kitchen furniturebedroom standing wardrobep.o.p ceilingtiled floorground floornet price:30mlocation: chevron alternative routefor enquirers & inspection.24 hours telephone line: call / whatsapp: wale [08028111215).dunovella properties limitedestate agency & properties marketingreal estate development & advisoryhomes & building solutio...More detailsAdded on 08 Oct 2021"
3 bedroom flat / apartment for sale,"60,000,000 ","Lekki Right, Lekki Phase 1, Lekki, Lagos","Distress sales, three bedroom apartment with all rooms ensuite in a gate street at lekki right for sale for 6...More detailsAdded on 08 Oct 2021"
3 bedroom flat / apartment for sale,"45,000,000 ","Ikota, Lekki, Lagos",Call adenike 09034271...More detailsAdded on 07 Oct 2021
3 bedroom flat / apartment for sale,"53,000,000 ","Ilasan, Ikate, Lekki, Lagos","Real estate in lagos, nigeria---------------------this lovely 3 bedroom apartment is located in a secured environment and features spacious compound, stamped concrete floor, spacious living room, all rooms en-suite, fully fitted kitchen, spacious bedrooms, water heaters, 24hours security, water treatment, ample parking----------------------------------price: n53million------------------------------location: illasan, ikate-lekki.title: governor's cons...More detailsAdded on 07 Oct 2021"
3 bedroom flat / apartment for sale,"85,000,000 ","Ikate Elegushi, Lekki, Lagos","You can make n80,000 daily here from shortletthe best time to invest in real estate in nigeria is now with the current dollar exchange rate. please save your future.each apartment incorporates a spacious distinctive design with modern innovation to create homes with unique settings of living that improves quality of lives.*fetaures*- fitness centre/gym- solar solution for all apartments 24hrs low cost power- central power generation- central sewage system- cctv- apartments intercoms- fibre optic internet cables- water treatment plant- tight security- all rooms en suite- ample car park- beautiful façade- modern fittings- good road netw...More detailsAdded on 07 Oct 2021"
