title,price,location,bedrooms
4 Bedroom Townhouse for sale in Victoria Island,300000000,"Victoria Island Lagos, Victoria Island, Lekki",4
4 Bedroom House for sale in Victoria Island,300000000,"Victoria Island Lagos, Victoria Island, Lekki",4
3 Bedroom Apartment / Flat for sale in Victoria Island,175000000,"Off Adeola odeku street 6, Victoria Island, Lekki",3
3 Bedroom House for sale in Victoria Island,185000000,"Victoria Island Lagos, Victoria Island, Lekki",3
4 Bedroom House for sale in Victoria Island,130000000,"Oniru Rd Ikoyi, Victoria Island, Lekki",4
3 Bedroom House for sale in Victoria Island,185000000,"Victoria Island Lagos, Victoria Island, Lekki",3
5 Bedroom House for sale in Victoria Island,280000000,"Victoria Island Lagos, Victoria Island, Lekki",5
Commercial Property for sale in Victoria Island,22000000000,"Ozumba Mbadiwe street, Victoria Island, Lekki",N/A
5 Bedroom Townhouse for sale in Victoria Island,280000000,"Plot  120, Musa Ya'radua street Victoria Island Lagos, Victoria Island, Lekki",5
Commercial Property for sale in Victoria Island,60000000,"Ologun Agbaje Street, Victoria Island, Lekki",45
4 Bedroom Townhouse for sale in Victoria Island,95000000,"Oniru, Victoria Island, Lekki",4
4 Bedroom Townhouse for sale in Victoria Island,4500000,"Victoria Island, Lekki",4
