title,price,location,bedrooms
5 Bedroom House for sale in Lekki,155000000,"1 Babs Animashaun street Lekki phase 1, Lekki, Lekki",5
5 Bedroom House for sale in Lekki,160000000,"lekki county homes estate, Lekki, Lekki",5
5 Bedroom House for sale in Lekki,190000000,"lekki county homes estate, Lekki, Lekki",5
5 Bedroom House for sale in Lekki,140000000,"osapa, Lekki, Lekki",5
4 Bedroom House for sale in Lekki,75000000,"thomas estate ajah, Lekki, Lekki",4
4 Bedroom House for sale in Lekki,95000000,"orchid, Lekki, Lekki",4
4 Bedroom House for sale in Lekki,70000000,"orchid, Lekki, Lekki",4
4 Bedroom House for sale in Lekki,47000000,"happyland estate ajah, Lekki, Lekki",4
4 Bedroom House for sale in Lekki,79000000,"Ikota Lekki, Lekki, Lekki",4
4 Bedroom House for sale in Lekki,120000000,"osapa, Lekki, Lekki",4
3 Bedroom House for sale in Lekki,42000000,"thomas estate ajah, Lekki, Lekki",3
4 Bedroom House for sale in Lekki,65000000,"oral estate, Lekki, Lekki",4
5 Bedroom House for sale in Lekki,120000000,"chevron, Lekki, Lekki",5
5 Bedroom House for sale in Lekki,130000000,"oral estate, Lekki, Lekki",5
4 Bedroom House for sale in Lekki,47000000,"happyland estate ajah, Lekki, Lekki",4
5 Bedroom House for sale in Lekki,120000000,"oral estate, Lekki, Lekki",5
4 Bedroom House for sale in Lekki,75000000,"oral estate, Lekki, Lekki",4
5 Bedroom House for sale in Lekki,250000000,"Lekki Phase 1, Lekki, Lekki",5
4 Bedroom House for sale in Lekki,110000000,"ikota villa, Lekki, Lekki",4
4 Bedroom House for sale in Lekki,65000000,"thomas estate ajah, Lekki, Lekki",4
4 Bedroom House for sale in Lekki,38000000,"thomas estate ajah, Lekki, Lekki",4
